Filename                                                     Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bitcoin/base58.c                                                  23                 1    95.65%           5                 0   100.00%          39                 1    97.44%           6                 1    83.33%
bitcoin/block.c                                                   88                36    59.09%          14                 3    78.57%         178                86    51.69%          38                25    34.21%
bitcoin/chainparams.c                                             43                 3    93.02%           5                 0   100.00%          34                 3    91.18%          14                 3    78.57%
bitcoin/feerate.c                                                 16                 3    81.25%           3                 0   100.00%          30                 3    90.00%          20                 3    85.00%
bitcoin/feerate.h                                                 11                 0   100.00%           1                 0   100.00%          13                 4    69.23%           0                 0         -
bitcoin/locktime.c                                                10                 1    90.00%           4                 0   100.00%          16                 1    93.75%           2                 1    50.00%
bitcoin/preimage.c                                                 2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
bitcoin/privkey.c                                                 11                 3    72.73%           6                 1    83.33%          24                 6    75.00%           2                 0   100.00%
bitcoin/psbt.c                                                   418               100    76.08%          55                 5    90.91%         659               146    77.85%         160                68    57.50%
bitcoin/pubkey.c                                                  52                15    71.15%          11                 1    90.91%          79                18    77.22%          18                 9    50.00%
bitcoin/pubkey.h                                                   1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
bitcoin/script.c                                                 469                72    84.65%          52                 7    86.54%         548               113    79.38%         134                50    62.69%
bitcoin/shadouble.c                                                8                 0   100.00%           4                 0   100.00%          14                 0   100.00%           0                 0         -
bitcoin/short_channel_id.c                                        39                 3    92.31%           7                 0   100.00%          53                 4    92.45%          20                 7    65.00%
bitcoin/short_channel_id.h                                        12                 0   100.00%           5                 0   100.00%          18                 0   100.00%           8                 2    75.00%
bitcoin/signature.c                                              130                28    78.46%          19                 1    94.74%         182                20    89.01%          68                29    57.35%
bitcoin/signature.h                                                5                 2    60.00%           3                 2    33.33%          10                 6    40.00%           4                 1    75.00%
bitcoin/tx.c                                                     384                93    75.78%          67                 5    92.54%         649               140    78.43%         136                62    54.41%
bitcoin/tx.h                                                       4                 1    75.00%           1                 0   100.00%          21                16    23.81%           2                 1    50.00%
bitcoin/tx_parts.c                                               151                23    84.77%          14                 0   100.00%         347               152    56.20%          62                25    59.68%
bitcoin/varint.c                                                  37                27    27.03%           3                 0   100.00%          64                46    28.12%          28                21    25.00%
ccan/ccan/base64/base64.h                                          6                 6     0.00%           6                 6     0.00%          22                22     0.00%           0                 0         -
ccan/ccan/bitops/bitops.h                                         22                14    36.36%          16                12    25.00%          68                51    25.00%           0                 0         -
ccan/ccan/closefrom/closefrom.h                                    2                 0   100.00%           2                 0   100.00%           5                 0   100.00%           0                 0         -
ccan/ccan/container_of/container_of.h                              1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
ccan/ccan/crc32c/crc32c.c                                        180               119    33.89%          13                 5    61.54%         246               120    51.22%         106                72    32.08%
ccan/ccan/crypto/hkdf_sha256/hkdf_sha256.c                         4                 0   100.00%           1                 0   100.00%          24                 0   100.00%           2                 0   100.00%
ccan/ccan/crypto/hmac_sha256/hmac_sha256.c                        28                 2    92.86%           5                 0   100.00%          37                 4    89.19%           6                 1    83.33%
ccan/ccan/crypto/ripemd160/ripemd160.c                            62                25    59.68%          36                11    69.44%         295                50    83.05%          10                 3    70.00%
ccan/ccan/crypto/sha256/sha256.c                                  52                19    63.46%          26                 9    65.38%         200                36    82.00%          10                 1    90.00%
ccan/ccan/crypto/shachain/shachain.c                              38                 2    94.74%           9                 0   100.00%          65                 1    98.46%          18                 2    88.89%
ccan/ccan/crypto/siphash24/siphash24.c                            76                 9    88.16%          19                 8    57.89%         135                34    74.81%          32                 2    93.75%
ccan/ccan/endian/endian.h                                         30                 4    86.67%          12                 2    83.33%          36                 6    83.33%           0                 0         -
ccan/ccan/fdpass/fdpass.c                                         14                 2    85.71%           2                 0   100.00%          58                 4    93.10%          10                 5    50.00%
ccan/ccan/htable/htable.c                                        209                51    75.60%          34                 6    82.35%         324                89    72.53%         110                37    66.36%
ccan/ccan/htable/htable.h                                         12                12     0.00%           2                 2     0.00%          13                13     0.00%           4                 4     0.00%
ccan/ccan/htable/htable_type.h                                    49                13    73.47%          18                 7    61.11%          77                25    67.53%           8                 2    75.00%
ccan/ccan/ilog/ilog.c                                              4                 3    25.00%           4                 3    25.00%          40                19    52.50%           0                 0         -
ccan/ccan/intmap/intmap.c                                        123                47    61.79%          14                 4    71.43%         213                69    67.61%          76                33    56.58%
ccan/ccan/intmap/intmap.h                                          8                 4    50.00%           6                 4    33.33%          33                26    21.21%           4                 0   100.00%
